# ik    E (eV)      weight
    0.000000   -1.725000    0.073146
    0.000000   -1.700000    0.069763
    0.000000   -1.675000    0.067408
    0.000000   -1.650000    0.066102
    0.000000   -1.625000    0.065940
    0.000000   -1.600000    0.067117
    0.000000   -1.575000    0.069975
    0.000000   -1.550000    0.075089
    0.000000   -1.525000    0.083428
    0.000000   -1.500000    0.096652
    0.000000   -1.475000    0.117691
    0.000000   -1.450000    0.151807
    0.000000   -1.425000    0.208171
    0.000000   -1.400000    0.299290
    0.000000   -1.375000    0.421853
    0.000000   -1.350000    0.497899
    0.000000   -1.325000    0.434170
    0.000000   -1.300000    0.308944
    0.000000   -1.275000    0.210946
    0.000000   -1.250000    0.148890
    0.000000   -1.225000    0.110420
    0.000000   -1.200000    0.085787
    0.000000   -1.175000    0.069320
    0.000000   -1.150000    0.057845
    0.000000   -1.125000    0.049552
    0.000000   -1.100000    0.043370
    0.000000   -1.075000    0.038639
    0.000000   -1.050000    0.034939
    0.000000   -1.025000    0.031993
    0.000000   -1.000000    0.029612
    0.000000   -0.975000    0.027668
    0.000000   -0.950000    0.026068
    0.000000   -0.925000    0.024748
    0.000000   -0.900000    0.023658
    0.000000   -0.875000    0.022753
    0.000000   -0.850000    0.021990
    0.000000   -0.825000    0.021358
    0.000000   -0.800000    0.020856
    0.000000   -0.775000    0.020479
    0.000000   -0.750000    0.020218
    0.000000   -0.725000    0.020070
    0.000000   -0.700000    0.020036
    0.000000   -0.675000    0.020120
    0.000000   -0.650000    0.020333
    0.000000   -0.625000    0.020688
    0.000000   -0.600000    0.021207
    0.000000   -0.575000    0.021921
    0.000000   -0.550000    0.022873
    0.000000   -0.525000    0.024124
    0.000000   -0.500000    0.025759
    0.000000   -0.475000    0.027907
    0.000000   -0.450000    0.030756
    0.000000   -0.425000    0.034597
    0.000000   -0.400000    0.039894
    0.000000   -0.375000    0.047412
    0.000000   -0.350000    0.058462
    0.000000   -0.325000    0.075369
    0.000000   -0.300000    0.102253
    0.000000   -0.275000    0.145600
    0.000000   -0.250000    0.209674
    0.000000   -0.225000    0.271349
    0.000000   -0.200000    0.268858
    0.000000   -0.175000    0.208526
    0.000000   -0.150000    0.151736
    0.000000   -0.125000    0.117175
    0.000000   -0.100000    0.100604
    0.000000   -0.075000    0.097440
    0.000000   -0.050000    0.106502
    0.000000   -0.025000    0.128528
    0.000000    0.000000    0.159386
    0.000000    0.025000    0.185989
    0.000000    0.050000    0.213089
    0.000000    0.075000    0.248638
    0.000000    0.100000    0.251878
    0.000000    0.125000    0.200490
    0.000000    0.150000    0.141338
    0.000000    0.175000    0.099866
    0.000000    0.200000    0.073893
    0.000000    0.225000    0.057523
    0.000000    0.250000    0.046817
    0.000000    0.275000    0.039532
    0.000000    0.300000    0.034396
    0.000000    0.325000    0.030670
