# ik    E (eV)      weight
    0.000000   -5.350000    0.019290
    0.000000   -5.325000    0.018607
    0.000000   -5.300000    0.017971
    0.000000   -5.275000    0.017379
    0.000000   -5.250000    0.016828
    0.000000   -5.225000    0.016314
    0.000000   -5.200000    0.015834
    0.000000   -5.175000    0.015386
    0.000000   -5.150000    0.014967
    0.000000   -5.125000    0.014576
    0.000000   -5.100000    0.014210
    0.000000   -5.075000    0.013869
    0.000000   -5.050000    0.013549
    0.000000   -5.025000    0.013250
    0.000000   -5.000000    0.012971
    0.000000   -4.975000    0.012710
    0.000000   -4.950000    0.012467
    0.000000   -4.925000    0.012239
    0.000000   -4.900000    0.012028
    0.000000   -4.875000    0.011831
    0.000000   -4.850000    0.011647
    0.000000   -4.825000    0.011478
    0.000000   -4.800000    0.011320
    0.000000   -4.775000    0.011175
    0.000000   -4.750000    0.011042
    0.000000   -4.725000    0.010919
    0.000000   -4.700000    0.010808
    0.000000   -4.675000    0.010706
    0.000000   -4.650000    0.010615
    0.000000   -4.625000    0.010534
    0.000000   -4.600000    0.010462
    0.000000   -4.575000    0.010399
    0.000000   -4.550000    0.010345
    0.000000   -4.525000    0.010300
    0.000000   -4.500000    0.010264
    0.000000   -4.475000    0.010237
    0.000000   -4.450000    0.010218
    0.000000   -4.425000    0.010208
    0.000000   -4.400000    0.010206
    0.000000   -4.375000    0.010212
    0.000000   -4.350000    0.010227
    0.000000   -4.325000    0.010250
    0.000000   -4.300000    0.010282
    0.000000   -4.275000    0.010323
    0.000000   -4.250000    0.010372
    0.000000   -4.225000    0.010430
    0.000000   -4.200000    0.010498
    0.000000   -4.175000    0.010574
    0.000000   -4.150000    0.010660
    0.000000   -4.125000    0.010756
    0.000000   -4.100000    0.010862
    0.000000   -4.075000    0.010979
    0.000000   -4.050000    0.011106
    0.000000   -4.025000    0.011244
    0.000000   -4.000000    0.011394
    0.000000   -3.975000    0.011556
    0.000000   -3.950000    0.011731
    0.000000   -3.925000    0.011920
    0.000000   -3.900000    0.012122
    0.000000   -3.875000    0.012339
    0.000000   -3.850000    0.012571
    0.000000   -3.825000    0.012821
    0.000000   -3.800000    0.013087
    0.000000   -3.775000    0.013372
    0.000000   -3.750000    0.013677
    0.000000   -3.725000    0.014002
    0.000000   -3.700000    0.014350
    0.000000   -3.675000    0.014722
    0.000000   -3.650000    0.015120
    0.000000   -3.625000    0.015546
    0.000000   -3.600000    0.016001
    0.000000   -3.575000    0.016488
    0.000000   -3.550000    0.017009
    0.000000   -3.525000    0.017569
    0.000000   -3.500000    0.018169
    0.000000   -3.475000    0.018813
    0.000000   -3.450000    0.019505
